Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
H093867	23	0	20	14	16	9	0
H093884	0	15	31	15	0	0	9
H093892	45	20	0	12	0	0	18
H093904	40	22	0	0	0	0	0
H104025	23	0	0	10	0	0	0
H104044	63	0	42	0	18	0	21
H104351	0	0	11	19	18	0	0
H104362	0	38	0	22	28	24	0
H104490	0	27	41	22	21	0	15
H104529	27	0	0	8	9	0	4
H104572	0	0	37	0	28	9	0
H104656	22	0	18	0	16	0	11
H104773	0	21	0	0	0	0	6
H104792	78	0	32	16	0	0	0
H105106	0	0	6	4	0	0	4
H105140	0	0	41	15	0	0	7
H110058	0	0	52	0	0	10	21
H110061	52	0	0	0	0	126	0
H110104	33	0	0	0	18	12	6
H110129	29	16	0	18	0	0	12
H110134	38	0	0	13	10	0	0
H110146	19	20	34	0	0	0	7
H110170	21	30	0	10	0	0	0
H110180	38	0	0	29	22	0	0
H110193	0	0	24	14	0	0	0
H110224	38	0	0	14	0	0	16
H110261	0	0	138	0	0	0	46
H110321	0	7	13	0	0	0	0
H110362	30	41	25	14	26	0	0
H110379	0	45	56	0	27	16	21
H110451	0	0	45	18	0	0	7
H110467	0	0	38	0	0	0	10
H110610	0	28	44	0	25	18	0
H110669	54	0	26	0	0	9	0
H110702	0	39	0	8	0	6	5
H110772	0	0	45	0	19	0	28
H110773	0	35	19	24	18	9	0
H110795	0	58	28	20	23	0	0
H110908	0	27	34	0	0	0	0
H111183	0	25	22	15	18	0	0
H111209	0	15	10	7	0	29	0
H111362	24	0	26	19	14	0	6
H111720	29	26	0	9	14	0	5
H111728	35	0	35	24	17	0	0
H111889	38	34	18	0	0	0	0
H111909	55	0	0	30	18	26	16
H111988	18	0	0	7	7	0	0
H112288	21	50	0	0	0	0	0
H112290	0	0	0	0	0	0	60
H112306	0	13	15	9	14	10	0
H112345	0	0	20	15	23	8	0
H112352	78	80	64	0	0	0	52
H112501	0	0	0	0	1112	339	0
H112562	40	0	22	0	31	30	0
H112665	0	18	32	16	0	7	0
H112971	0	0	89	20	0	0	24
TCGA-2V-A95S-01	33	22	19	20	33	12	0
TCGA-2Y-A9GS-01	0	0	39	50	0	0	0
TCGA-2Y-A9GT-01	0	28	18	26	19	12	12
TCGA-2Y-A9GU-01	0	57	0	70	62	17	0
TCGA-2Y-A9GV-01	38	22	0	9	0	15	0
TCGA-2Y-A9GW-01	0	23	28	26	19	9	0
TCGA-2Y-A9GX-01	31	0	12	0	21	10	0
TCGA-2Y-A9GY-01	86	0	0	19	0	0	0
TCGA-2Y-A9GZ-01	70	0	36	0	26	0	0
TCGA-2Y-A9H0-01	33	0	18	22	21	16	0
TCGA-2Y-A9H1-01	51	40	27	14	38	0	0
TCGA-2Y-A9H2-01	37	0	0	28	0	0	0
TCGA-2Y-A9H3-01	122	35	0	32	34	17	14
TCGA-2Y-A9H4-01	0	27	23	13	33	0	0
TCGA-2Y-A9H5-01	48	0	0	38	22	0	0
TCGA-2Y-A9H6-01	0	25	15	19	26	0	0
TCGA-2Y-A9H7-01	35	0	18	21	22	8	0
TCGA-2Y-A9H8-01	40	0	0	48	19	0	0
TCGA-2Y-A9H9-01	57	38	37	43	0	0	0
TCGA-2Y-A9HA-01	0	47	67	38	38	16	0
TCGA-2Y-A9HB-01	53	0	0	28	19	0	10
TCGA-3K-AAZ8-01	0	46	40	32	50	27	0
TCGA-4R-AA8I-01	0	229	0	1240	0	0	0
TCGA-5C-A9VG-01	94	0	0	58	44	0	14
TCGA-5C-A9VH-01	43	23	30	13	25	0	0
TCGA-5C-AAPD-01	0	18	20	17	24	0	6
TCGA-5R-AA1C-01	66	19	0	0	20	16	8
TCGA-5R-AA1D-01	16	0	0	7	0	0	3
TCGA-5R-AAAM-01	40	31	19	34	0	0	0
TCGA-BC-4073-01	87	0	47	0	49	0	14
TCGA-BC-A10Q-01	36	0	0	12	0	0	0
TCGA-BC-A10R-01	54	0	22	30	33	0	0
TCGA-BC-A10T-01	32	0	17	20	23	18	0
TCGA-BC-A10U-01	49	34	46	14	26	0	0
TCGA-BC-A10W-01	47	39	0	17	22	0	13
TCGA-BC-A10X-01	0	4	0	0	0	0	0
TCGA-BC-A10Y-01	0	38	0	26	22	0	0
TCGA-BC-A10Z-01	99	0	78	0	31	21	0
TCGA-BC-A216-01	37	0	0	35	18	0	0
TCGA-BC-A217-01	47	28	27	12	17	14	10
TCGA-BC-A3KF-01	0	45	23	23	22	19	0
TCGA-BC-A5W4-01	59	0	0	34	0	0	0
TCGA-BC-A69H-01	0	33	36	23	48	18	0
TCGA-BC-A8YO-01	43	0	15	19	0	14	0
TCGA-BD-A2L6-01	40	27	19	0	0	9	0
TCGA-BD-A3EP-01	57	0	26	22	30	0	0
TCGA-BW-A5NO-01	72	26	23	0	35	0	0
TCGA-BW-A5NP-01	0	0	34	39	31	0	0
TCGA-BW-A5NQ-01	96	0	0	0	35	0	0
TCGA-CC-5258-01	0	45	66	36	26	0	0
TCGA-CC-5259-01	64	0	35	29	0	67	0
TCGA-CC-5260-01	45	0	0	20	0	14	0
TCGA-CC-5262-01	57	27	54	22	0	17	0
TCGA-CC-5263-01	0	33	41	17	27	33	11
TCGA-CC-5264-01	60	0	30	0	20	19	0
TCGA-CC-A123-01	0	0	53	16	29	11	0
TCGA-CC-A1HT-01	0	34	33	17	37	0	0
TCGA-CC-A3M9-01	0	62	33	17	39	32	0
TCGA-CC-A3MA-01	30	0	0	32	0	0	0
TCGA-CC-A3MB-01	40	0	41	22	0	0	0
TCGA-CC-A3MC-01	32	27	37	23	0	14	0
TCGA-CC-A5UC-01	0	21	20	11	23	0	0
TCGA-CC-A5UD-01	0	0	46	29	0	196	0
TCGA-CC-A5UE-01	47	0	64	0	23	25	12
TCGA-CC-A7IE-01	62	58	42	44	0	33	0
TCGA-CC-A7IF-01	95	0	26	28	0	22	9
TCGA-CC-A7IG-01	0	42	125	37	0	0	0
TCGA-CC-A7IH-01	0	378	218	0	90	397	0
TCGA-CC-A7II-01	0	0	149	42	33	0	0
TCGA-CC-A7IJ-01	73	29	31	27	28	0	10
TCGA-CC-A7IK-01	0	172	59	40	0	155	0
TCGA-CC-A7IL-01	67	0	62	25	0	0	0
TCGA-CC-A8HT-01	0	51	135	35	61	0	0
TCGA-CC-A8HU-01	39	0	51	19	15	0	7
TCGA-CC-A8HV-01	49	0	59	54	23	15	0
TCGA-CC-A9FS-01	58	0	53	21	0	12	0
TCGA-CC-A9FU-01	0	0	32	12	27	0	0
TCGA-CC-A9FV-01	19	0	0	12	0	0	0
TCGA-CC-A9FW-01	42	41	35	28	28	27	0
TCGA-DD-A113-01	103	0	0	45	32	19	14
TCGA-DD-A114-01	0	0	114	0	32	0	0
TCGA-DD-A115-01	41	0	35	0	40	0	0
TCGA-DD-A116-01	57	34	33	15	23	0	0
TCGA-DD-A118-01	87	0	26	41	0	0	0
TCGA-DD-A119-01	0	31	0	38	23	0	0
TCGA-DD-A11A-01	89	0	31	22	31	0	0
TCGA-DD-A11B-01	42	18	0	0	17	0	0
TCGA-DD-A11C-01	53	0	17	30	25	0	0
TCGA-DD-A11D-01	61	27	28	0	27	16	10
TCGA-DD-A1E9-01	41	0	0	24	29	0	0
TCGA-DD-A1EB-01	58	55	73	26	25	0	0
TCGA-DD-A1EC-01	21	0	0	15	0	0	0
TCGA-DD-A1ED-01	11	10	9	0	7	0	0
TCGA-DD-A1EE-01	183	81	214	70	101	50	24
TCGA-DD-A1EF-01	0	65	0	35	65	15	0
TCGA-DD-A1EH-01	0	0	10	27	10	0	0
TCGA-DD-A1EI-01	28	23	10	10	0	0	0
TCGA-DD-A1EJ-01	56	0	0	14	14	0	0
TCGA-DD-A1EK-01	45	0	25	0	21	0	0
TCGA-DD-A1EL-01	0	0	101	27	0	0	12
TCGA-DD-A39V-01	39	17	0	30	0	0	6
TCGA-DD-A39W-01	39	0	0	13	0	0	0
TCGA-DD-A39X-01	0	0	17	42	23	0	0
TCGA-DD-A39Z-01	0	0	33	26	47	0	0
TCGA-DD-A3A2-01	52	0	0	25	19	0	0
TCGA-DD-A3A3-01	39	0	11	12	11	0	0
TCGA-DD-A3A4-01	0	18	16	17	0	0	0
TCGA-DD-A3A5-01	50	0	16	25	0	0	0
TCGA-DD-A3A6-01	0	11	0	11	7	0	0
TCGA-DD-A3A7-01	54	59	21	16	20	0	0
TCGA-DD-A3A8-01	70	50	0	25	22	0	10
TCGA-DD-A3A9-01	172	126	0	52	133	48	0
TCGA-DD-A4NA-01	26	0	0	13	0	0	0
TCGA-DD-A4NB-01	23	0	0	0	10	0	0
TCGA-DD-A4ND-01	29	0	16	10	17	0	0
TCGA-DD-A4NE-01	20	16	15	9	10	0	0
TCGA-DD-A4NF-01	100	0	24	0	33	0	8
TCGA-DD-A4NG-01	48	0	20	9	14	0	0
TCGA-DD-A4NH-01	23	0	0	20	19	0	0
TCGA-DD-A4NI-01	61	42	40	31	34	0	11
TCGA-DD-A4NJ-01	0	30	21	0	42	17	0
TCGA-DD-A4NK-01	32	0	24	20	36	8	0
TCGA-DD-A4NL-01	0	17	10	10	0	0	0
TCGA-DD-A4NN-01	28	0	0	16	15	11	0
TCGA-DD-A4NO-01	34	0	12	18	0	9	0
TCGA-DD-A4NP-01	19	0	0	4	0	7	0
TCGA-DD-A4NQ-01	47	0	20	17	16	10	0
TCGA-DD-A4NR-01	57	0	18	11	0	0	0
TCGA-DD-A4NS-01	0	0	29	41	14	0	0
TCGA-DD-A4NV-01	57	30	0	41	31	25	0
TCGA-DD-A73A-01	29	0	22	20	20	26	0
TCGA-DD-A73B-01	0	31	27	31	21	0	0
TCGA-DD-A73C-01	31	25	19	0	35	0	0
TCGA-DD-A73D-01	35	0	15	21	17	9	0
TCGA-DD-A73E-01	40	29	50	20	33	0	13
TCGA-DD-A73F-01	0	0	39	43	29	0	10
TCGA-DD-A73G-01	100	0	0	24	30	0	0
TCGA-DD-AA3A-01	30	0	0	25	13	0	0
TCGA-DD-AAC8-01	0	0	0	0	0	738	0
TCGA-DD-AAC9-01	0	24	35	23	32	0	0
TCGA-DD-AACA-01	0	56	34	36	29	0	0
TCGA-DD-AACB-01	29	0	29	23	42	9	0
TCGA-DD-AACC-01	51	23	21	22	0	0	8
TCGA-DD-AACD-01	0	76	0	15	37	0	0
TCGA-DD-AACE-01	24	17	21	22	14	17	0
TCGA-DD-AACF-01	0	45	33	44	36	0	12
TCGA-DD-AACG-01	35	28	24	18	15	15	0
TCGA-DD-AACH-01	36	22	21	17	20	12	0
TCGA-DD-AACI-01	107	157	0	62	0	208	0
TCGA-DD-AACJ-01	85	34	0	25	0	0	0
TCGA-DD-AACK-01	79	0	0	0	0	102	13
TCGA-DD-AACL-01	0	0	0	0	0	420	0
TCGA-DD-AACM-01	38	0	0	25	14	0	0
TCGA-DD-AACN-01	18	0	0	16	14	10	0
TCGA-DD-AACO-01	0	21	13	0	24	0	0
TCGA-DD-AACP-01	92	98	0	61	0	21	0
TCGA-DD-AACQ-01	87	0	0	0	0	210	0
TCGA-DD-AACS-01	41	0	0	21	0	0	0
TCGA-DD-AACT-01	58	53	0	43	0	132	0
TCGA-DD-AACU-01	53	0	30	21	22	41	0
TCGA-DD-AACV-01	40	64	0	27	16	0	0
TCGA-DD-AACW-01	30	0	0	26	0	0	8
TCGA-DD-AACX-01	0	54	33	28	30	13	0
TCGA-DD-AACY-01	0	71	0	16	29	0	0
TCGA-DD-AACZ-01	77	0	0	63	0	96	0
TCGA-DD-AAD0-01	0	0	55	43	34	12	0
TCGA-DD-AAD1-01	0	46	31	40	30	35	0
TCGA-DD-AAD2-01	0	28	29	18	24	11	0
TCGA-DD-AAD3-01	41	28	23	14	0	0	0
TCGA-DD-AAD5-01	113	0	0	25	0	19	10
TCGA-DD-AAD6-01	50	48	19	0	17	13	0
TCGA-DD-AAD8-01	58	0	0	14	34	54	0
TCGA-DD-AADA-01	91	0	0	46	0	28	0
TCGA-DD-AADB-01	0	58	33	15	64	0	14
TCGA-DD-AADC-01	30	36	32	18	0	0	0
TCGA-DD-AADD-01	44	35	0	0	42	0	0
TCGA-DD-AADE-01	101	52	0	0	0	0	0
TCGA-DD-AADF-01	83	0	41	28	0	163	0
TCGA-DD-AADG-01	76	52	36	0	35	17	12
TCGA-DD-AADI-01	0	0	31	34	64	30	0
TCGA-DD-AADJ-01	0	0	28	21	22	10	0
TCGA-DD-AADK-01	48	18	0	14	0	0	0
TCGA-DD-AADL-01	41	53	37	0	30	0	8
TCGA-DD-AADM-01	135	99	0	0	0	29	0
TCGA-DD-AADN-01	46	30	28	16	25	0	0
TCGA-DD-AADO-01	88	91	0	45	57	33	0
TCGA-DD-AADP-01	32	31	18	23	21	12	0
TCGA-DD-AADQ-01	48	47	0	13	38	24	7
TCGA-DD-AADR-01	83	0	21	16	22	0	0
TCGA-DD-AADS-01	69	46	0	0	0	85	0
TCGA-DD-AADU-01	0	56	35	19	0	31	0
TCGA-DD-AADV-01	59	60	0	0	33	0	0
TCGA-DD-AADW-01	31	0	19	0	13	6	0
TCGA-DD-AADY-01	27	0	0	13	26	0	0
TCGA-DD-AAE0-01	27	0	0	50	23	0	0
TCGA-DD-AAE1-01	47	0	0	18	0	0	0
TCGA-DD-AAE2-01	49	0	19	22	20	24	0
TCGA-DD-AAE3-01	101	122	0	0	0	0	0
TCGA-DD-AAE4-01	0	0	36	19	28	12	0
TCGA-DD-AAE6-01	63	0	0	0	61	0	0
TCGA-DD-AAE7-01	164	105	38	0	0	54	0
TCGA-DD-AAE8-01	39	16	12	20	0	7	0
TCGA-DD-AAE9-01	56	43	0	0	18	28	13
TCGA-DD-AAEA-01	99	146	0	0	0	0	0
TCGA-DD-AAEB-01	66	62	29	0	22	0	0
TCGA-DD-AAED-01	36	25	0	15	14	0	7
TCGA-DD-AAEE-01	47	40	19	15	0	0	0
TCGA-DD-AAEG-01	69	31	0	39	0	13	0
TCGA-DD-AAEH-01	0	34	42	19	26	0	0
TCGA-DD-AAEI-01	64	0	0	20	30	34	0
TCGA-DD-AAEK-01	58	56	0	0	0	0	0
TCGA-DD-AAVP-01	36	0	25	15	21	13	8
TCGA-DD-AAVQ-01	20	19	24	14	0	0	0
TCGA-DD-AAVR-01	36	0	0	30	14	14	0
TCGA-DD-AAVS-01	55	0	0	0	13	0	0
TCGA-DD-AAVU-01	31	15	0	14	13	8	0
TCGA-DD-AAVV-01	44	62	36	21	25	0	0
TCGA-DD-AAVW-01	20	0	0	28	0	0	0
TCGA-DD-AAVX-01	38	23	0	12	32	8	0
TCGA-DD-AAVY-01	41	47	0	23	19	0	0
TCGA-DD-AAVZ-01	47	0	0	16	0	0	0
TCGA-DD-AAW0-01	52	0	0	36	23	14	0
TCGA-DD-AAW1-01	41	0	0	17	23	72	0
TCGA-DD-AAW2-01	43	54	23	15	0	48	0
TCGA-DD-AAW3-01	41	19	17	13	25	12	0
TCGA-ED-A459-01	94	0	0	0	0	218	0
TCGA-ED-A4XI-01	48	98	0	0	32	17	0
TCGA-ED-A5KG-01	0	0	9	9	8	4	0
TCGA-ED-A627-01	0	0	2	0	2	0	0
TCGA-ED-A66X-01	0	0	0	45	18	0	0
TCGA-ED-A66Y-01	0	38	26	31	24	0	0
TCGA-ED-A7PX-01	15	0	0	19	8	0	0
TCGA-ED-A7PY-01	0	0	23	25	0	0	0
TCGA-ED-A7PZ-01	0	0	81	33	52	180	0
TCGA-ED-A7XO-01	0	23	25	23	0	0	5
TCGA-ED-A7XP-01	0	0	34	23	23	0	0
TCGA-ED-A82E-01	0	0	15	16	10	0	0
TCGA-ED-A8O5-01	0	27	26	24	46	43	0
TCGA-ED-A8O6-01	0	0	29	50	0	9	0
TCGA-ED-A97K-01	0	0	17	47	0	0	0
TCGA-EP-A12J-01	49	0	0	21	0	0	6
TCGA-EP-A26S-01	45	27	28	16	29	0	0
TCGA-EP-A2KA-01	52	0	28	40	19	0	11
TCGA-EP-A2KB-01	53	19	0	18	19	0	10
TCGA-EP-A2KC-01	0	28	25	21	29	12	0
TCGA-EP-A3JL-01	43	37	0	0	27	0	9
TCGA-EP-A3RK-01	0	25	0	24	24	0	5
TCGA-ES-A2HS-01	45	0	0	20	33	0	0
TCGA-ES-A2HT-01	0	56	24	0	27	0	0
TCGA-FV-A23B-01	0	47	0	35	52	0	22
TCGA-FV-A2QQ-01	0	49	56	30	32	0	0
TCGA-FV-A2QR-01	52	23	31	12	31	0	8
TCGA-FV-A3I0-01	56	0	0	22	29	0	0
TCGA-FV-A3I1-01	0	23	33	12	23	11	0
TCGA-FV-A3R2-01	45	0	34	12	20	0	0
TCGA-FV-A3R3-01	0	20	13	26	14	0	0
TCGA-FV-A495-01	73	0	0	25	23	11	7
TCGA-FV-A496-01	82	0	0	32	48	0	0
TCGA-FV-A4ZP-01	63	0	0	19	46	0	0
TCGA-FV-A4ZQ-01	67	0	42	0	0	0	0
TCGA-G3-A25S-01	43	47	34	17	43	0	0
TCGA-G3-A25T-01	0	30	19	26	15	0	0
TCGA-G3-A25U-01	0	35	36	0	36	0	36
TCGA-G3-A25V-01	26	32	18	0	16	0	8
TCGA-G3-A25W-01	0	48	35	24	22	0	8
TCGA-G3-A25Y-01	39	21	26	17	0	0	19
TCGA-G3-A25Z-01	0	31	31	25	19	0	10
TCGA-G3-A3CH-01	35	0	0	22	0	0	0
TCGA-G3-A3CI-01	0	19	0	0	8	0	0
TCGA-G3-A3CK-01	91	115	0	30	45	0	0
TCGA-G3-A5SI-01	39	0	0	14	0	0	0
TCGA-G3-A5SJ-01	63	38	0	19	0	0	10
TCGA-G3-A5SK-01	63	37	0	0	20	0	10
TCGA-G3-A5SL-01	70	34	0	22	25	12	0
TCGA-G3-A5SM-01	92	0	0	53	28	0	0
TCGA-G3-A6UC-01	43	35	32	18	23	13	8
TCGA-G3-A7M5-01	108	0	0	0	0	134	0
TCGA-G3-A7M6-01	47	30	0	22	29	0	0
TCGA-G3-A7M7-01	57	0	30	0	14	0	0
TCGA-G3-A7M8-01	25	0	0	9	0	0	0
TCGA-G3-A7M9-01	43	33	60	0	17	19	0
TCGA-G3-AAUZ-01	49	0	30	20	0	10	0
TCGA-G3-AAV0-01	115	0	0	32	55	34	0
TCGA-G3-AAV1-01	28	20	0	0	22	0	7
TCGA-G3-AAV2-01	0	0	17	24	17	16	0
TCGA-G3-AAV3-01	0	0	25	30	35	18	7
TCGA-G3-AAV4-01	58	0	39	21	51	0	0
TCGA-G3-AAV5-01	26	0	32	35	19	0	0
TCGA-G3-AAV6-01	63	0	17	29	0	0	0
TCGA-G3-AAV7-01	38	0	23	31	17	0	9
TCGA-GJ-A3OU-01	42	0	0	18	15	0	0
TCGA-GJ-A6C0-01	0	0	28	23	88	0	0
TCGA-GJ-A9DB-01	80	0	0	14	25	0	10
TCGA-HP-A5MZ-01	36	0	0	10	12	0	3
TCGA-HP-A5N0-01	98	0	24	17	0	23	13
TCGA-K7-A5RF-01	0	25	19	16	23	0	0
TCGA-K7-A5RG-01	0	69	19	22	24	35	0
TCGA-K7-A6G5-01	60	0	26	0	18	0	9
TCGA-K7-AAU7-01	57	0	0	27	16	0	0
TCGA-KR-A7K0-01	54	0	21	25	21	0	10
TCGA-KR-A7K2-01	27	15	0	10	17	0	7
TCGA-KR-A7K7-01	35	0	0	34	15	0	0
TCGA-KR-A7K8-01	43	0	0	29	0	0	6
TCGA-LG-A6GG-01	0	49	36	28	33	125	0
TCGA-LG-A9QC-01	50	0	0	9	0	7	0
TCGA-LG-A9QD-01	51	22	25	20	44	0	0
TCGA-MI-A75C-01	55	35	25	0	35	13	0
TCGA-MI-A75E-01	39	54	0	15	36	27	8
TCGA-MI-A75G-01	85	85	65	0	34	26	17
TCGA-MI-A75H-01	50	36	23	18	31	19	12
TCGA-MI-A75I-01	104	39	0	24	0	46	14
TCGA-MR-A520-01	27	0	0	5	0	0	0
TCGA-MR-A8JO-01	15	12	0	5	8	0	0
TCGA-NI-A4U2-01	60	0	24	14	48	17	0
TCGA-NI-A8LF-01	71	0	29	20	28	0	0
TCGA-O8-A75V-01	34	23	24	10	13	9	0
TCGA-PD-A5DF-01	47	0	0	12	0	0	0
TCGA-QA-A7B7-01	0	19	42	20	27	16	9
TCGA-RC-A6M3-01	42	26	0	17	16	0	0
TCGA-RC-A6M4-01	0	70	57	29	0	96	0
TCGA-RC-A6M5-01	22	0	0	11	0	0	0
TCGA-RC-A6M6-01	59	0	70	27	32	26	13
TCGA-RC-A7S9-01	0	22	17	25	18	0	0
